id,question,answer,category,explanation
"1","店長「雇用契約書？うちは口約束で大丈夫だから」","risk","労働条件明示","労働条件は適切に明示する必要があります。書面等で確認できない運用はリスクがあります。"
"2","人事「賃金、労働時間、休日、契約期間を文書で確認してください」","safe","労働条件明示","重要な労働条件を文書等で確認させることは、適正な対応です。"
"3","店長「細かい条件は働きながら覚えて。最初に全部説明する必要ないでしょ」","risk","労働条件明示","労働条件を曖昧なまま働かせることは、労基法上の明示義務との関係で問題となり得ます。"
"4","人事「変更後の勤務時間と賃金は、改めて書面で渡します」","safe","労働条件明示","労働条件の変更内容を明確にすることは、紛争予防上も望ましい対応です。"
"5","店長「今日はレジが合わなかったから、不足分は給料から引くね」","risk","賃金全額払い","賃金から一方的に不足分を控除することは、賃金全額払いの原則との関係で問題となり得ます。"
"6","経理「控除する項目は、法令や労使協定の根拠を確認してから処理します」","safe","賃金控除","賃金控除の根拠を確認することは、適正な賃金管理です。"
"7","社長「罰金として今月の給料を3万円減らす。規律のためだから」","risk","制裁・賃金","減給制裁には限度や根拠が問題になります。安易な賃金減額はリスクがあります。"
"8","店長「制服を汚したから、クリーニング代は勝手に給料から引いておく」","risk","賃金控除","本人の同意や法的根拠なく賃金から控除する運用は問題となり得ます。"
"9","上司「給料日は来月にまとめて払うね。会社の資金繰りが厳しいから」","risk","賃金支払","賃金は所定の支払期日に支払う必要があります。会社都合の先延ばしはリスクがあります。"
"10","経理「賃金は所定支払日に、控除項目を明示して支払います」","safe","賃金支払","支払期日と控除内容を明確にすることは、適切な対応です。"
"11","上司「18時で打刻して。そのあと30分だけ片付けを手伝って」","risk","労働時間","打刻後であっても、使用者の指示で働けば労働時間となる可能性があります。"
"12","先輩「始業前清掃は自主参加だけど、全員出るのが暗黙のルールだよ」","risk","労働時間","事実上参加が義務なら、始業前でも労働時間に当たる可能性があります。"
"13","店長「開店準備は勤務時間に入らないよ。準備してからタイムカードね」","risk","労働時間","開店準備が業務として必要なら、労働時間として扱うべき可能性があります。"
"14","上司「残業が必要なら、事前に申請して承認を受けてください」","safe","労働時間管理","残業を事前申請制にして管理すること自体は、適正な労務管理の方向です。"
"15","店長「シフト後の売上報告LINEは仕事じゃないから、残業にはならないよ」","risk","労働時間","業務上必要な報告であれば、短時間でも労働時間性が問題となり得ます。"
"16","上司「今日は残業が発生したので、実際の退勤時刻で打刻してください」","safe","労働時間管理","実労働時間に沿った記録を残すことは適切な対応です。"
"17","店長「暇な時間は休憩扱いにしておくから。でも呼んだらすぐ戻ってね」","risk","休憩・労働時間","使用者の指示に即応する必要がある時間は、休憩ではなく労働時間と評価される可能性があります。"
"18","社員「待機中でも電話が鳴ったら必ず対応してね。休んでていいけど」","risk","手待時間","対応義務がある待機時間は、労働時間性が問題となります。"
"19","店長「今日は忙しいから休憩なしで。あとで休んだことにしておくね」","risk","休憩","休憩は実際に労働から解放されている必要があります。形式だけでは足りません。"
"20","上司「休憩をまだ取っていない人から順番に入ってください」","safe","休憩管理","休憩取得を調整することは、適切な労務管理の方向です。"
"21","店長「休憩中もレジにお客さんが来たら対応して」","risk","休憩","休憩中に業務対応を求めると、労働から解放されていないとして問題になり得ます。"
"22","上司「6時間を超える勤務になるので、休憩時間を確保します」","safe","休憩","労働時間に応じて休憩を確保することは、労基法上も重要です。"
"23","店長「休憩は各自で取ったことにして。実際に取れるかは現場判断ね」","risk","休憩","実際に休憩を確保しない運用は問題となり得ます。"
"24","店長「休日だけど、1時間だけ棚卸しに来て。ボランティア扱いね」","risk","休日労働","休日に業務をさせれば、労働時間・休日労働として扱うべき可能性があります。"
"25","上司「休日出勤が必要な場合は、手続と割増賃金の扱いを確認します」","safe","休日労働","休日労働の手続や賃金を確認することは、適切な対応です。"
"26","店長「今週は休みなしで行こう。若いから大丈夫でしょ」","risk","休日","一定の休日を確保しない連続勤務は、労基法上問題となり得ます。"
"27","上司「今週の法定休日を確保できるよう、シフトを調整します」","safe","休日","休日確保を意識したシフト調整は、適正な労務管理です。"
"28","社長「残業代は基本給に含むと面接で言ったから、何時間残っても追加はない」","risk","割増賃金","固定残業代には明確な区分や不足分精算などが問題になります。単なる説明だけでは足りない可能性があります。"
"29","経理「時間外・深夜・休日労働は区分して割増賃金を計算します」","safe","割増賃金","割増賃金の区分計算を行うことは、適切な賃金管理です。"
"30","店長「深夜手当？夜のシフトを希望したのは君だから出ないよ」","risk","深夜割増","深夜労働には、本人希望の有無にかかわらず割増賃金が問題となります。"
"31","上司「タイムカードは18時だけど、実際は20時までいた？ じゃあ記録を修正しよう」","safe","労働時間記録","実労働時間に合わせて記録を修正することは、適切な対応です。"
"32","店長「残業は15分未満切り捨てね。毎日そういうルールだから」","risk","労働時間・賃金","日々の労働時間を機械的に切り捨てる運用は、賃金不払いのリスクがあります。"
"33","経理「労働時間は原則として実時間で集計します」","safe","労働時間集計","実時間に基づく集計は、適切な労働時間管理の方向です。"
"34","上司「有休が欲しい？だったら理由を説明して？」","risk","年次有給休暇","年休取得に詳細な理由説明を事実上要求する運用は、問題となり得ます。"
"35","店長「有休？うちの会社にそういう制度はないよ」","risk","年次有給休暇","要件を満たす労働者には年休が発生します。会社に制度がないという説明は問題です。"
"36","上司「その日は人員が足りないので、別の日に変更できるか相談させてください」","safe","年次有給休暇","事情を説明して相談すること自体は、直ちに問題とは限りません。"
"37","先輩「バイトに有休なんてないって聞いたよ」","risk","年休・非正規","パート・アルバイトでも要件を満たせば年休が発生します。"
"38","人事「年休の残日数と取得予定を確認しましょう」","safe","年休管理","年休取得状況を管理することは、適切な労務管理です。"
"39","店長「有休を使うなら、代わりの人を自分で探して」","risk","年次有給休暇","代替要員確保を労働者に一方的に求める運用は、年休取得を妨げるリスクがあります。"
"40","上司「繁忙期なので時季変更の必要があるか、人員状況を確認します」","safe","年次有給休暇","時季変更の可否を具体的事情に基づいて検討すること自体は、適正な対応になり得ます。"
"41","店長「退職前に有休をまとめて使うのは非常識だから認めない」","risk","年次有給休暇","退職前であっても年休権は問題になります。一律拒否はリスクがあります。"
"42","店長「高校生だけど、22時以降も人手が足りないから入って」","risk","年少者・深夜業","年少者の深夜業には労基法上の制限があります。高校生アルバイトでは特に注意が必要です。"
"43","店長「高校生のシフトは深夜に入らないように調整します」","safe","年少者","年少者の労働時間帯に配慮することは、適切な対応です。"
"44","上司「18歳未満だけど、危ない作業も経験だからやってみよう」","risk","年少者・危険有害業務","年少者には危険有害業務等について制限があります。経験目的でも注意が必要です。"
"45","店長「未成年スタッフには、学校や年齢に関係する制限を確認してからシフトを組みます」","safe","年少者","年少者の労働制限を確認することは、適切な労務管理です。"
"46","上司「妊娠中でも重い荷物はみんなと同じように運んで」","risk","妊産婦保護","妊産婦については労基法上の保護規定が問題になります。身体的負担の扱いに注意が必要です。"
"47","人事「妊娠中の業務負担について、本人の希望と法令上の制限を確認しましょう」","safe","妊産婦保護","妊産婦保護に配慮して業務を確認することは、適切な対応です。"
"48","上司「産前産後休業？人手不足だから今回は我慢して」","risk","産前産後","産前産後休業に関する保護を無視する運用は、重大なリスクがあります。"
"49","人事「産前産後休業の申出について、必要な手続を案内します」","safe","産前産後","制度利用に必要な手続を案内することは、適切な対応です。"
"50","社長「明日から来なくていい。解雇予告手当？そんなの払わない」","risk","解雇予告","解雇予告や解雇予告手当の要否が問題になります。突然の排除は大きなリスクです。"
"51","人事「解雇に関する手続や予告の要否を確認します」","safe","解雇予告","解雇時の手続・予告の確認は、適切な対応です。"
"52","社員「退職証明書をください」上司「そんなもの出す義務ないよ」","risk","退職時証明","退職時証明などの請求に対して、労基法上の対応が問題となります。"
"53","人事「退職時証明書の請求があれば、記載事項を確認して発行します」","safe","退職時証明","退職時証明の請求に適切に対応することは、望ましい対応です。"
